company,reviews,salaries,jobs,benefits,photos
JK Tyres,1.5k,6.2k,2,195,2
Gabriel India,1.5k,5.3k,--,254,--
KIA MOTORS,1.5k,6.6k,3,185,11
Straive,1.5k,8k,67,129,15
DBS Bank,1.5k,11.8k,26,194,6
Lucas-TVS,1.5k,5.5k,13,224,4
Bank of Baroda,1.5k,5.9k,--,155,12
Planet Spark,1.5k,2.5k,98,212,1
Laurus Labs,1.5k,6.3k,7,226,9
Sify Technologies,1.5k,8.9k,10,158,3
Hero FinCorp,1.5k,4.5k,21,137,--
Hindustan Aeronautics,1.5k,3.9k,--,178,2
ValueLabs,1.5k,14.9k,44,291,11
Adani Power,1.5k,7.5k,--,171,4
Indian Navy,1.5k,3.3k,--,253,--
Parle Products,1.5k,3.6k,5,207,1
ABC,1.5k,39.2k,15,87,--
Akums Drugs & Pharmaceuticals Limited,1.5k,5.6k,12,163,18
Thomson Reuters,1.5k,10.4k,6,234,--
upGrad,1.5k,7k,140,147,18
ESAF Microfinance & Investments (P),1.5k,6.1k,24,109,8
 Taurus BPO Services ,1.4k,668,--,524,6
Uflex,1.4k,6.2k,24,123,8
Intellect Design Arena,1.5k,11.4k,6,190,8
AECOM,1.5k,5.8k,--,254,13
SAP,1.5k,14.9k,141,313,12
TVS Sundram Fasteners,1.4k,6.2k,--,213,2
Citibank,1.5k,15.9k,6,214,6
CMA CGM,1.4k,8.8k,10,231,9
Cargill,1.4k,6.9k,138,160,7
Google,1.5k,21.2k,1,152,16
Microsoft Corporation,1.5k,23.2k,790,224,5
IDBI Bank,1.4k,5.7k,--,141,6
SGS,1.4k,5.6k,179,191,--
Reliance General Insurance,1.4k,6.4k,1,135,1
Dr Lal PathLabs,1.4k,4k,28,199,1
Honda,1.4k,5k,4,211,7
Novartis,1.4k,8.3k,53,242,22
Optum Global Solutions,1.4k,9k,--,182,--
Renault Nissan Technology & Business Centre India,1.5k,13k,7,237,8
L&T Energy Hydrocarbon,1.4k,7.4k,--,206,1
TCE,1.4k,7.2k,45,171,9
Kotak Securities,1.4k,8k,27,160,3
Meesho,1.4k,6.5k,135,289,11
Xoriant,1.4k,10.8k,65,437,40
YASH Technologies,1.4k,15.5k,24,179,34
Narayana Health,1.4k,5.1k,73,147,--
Honeywell Automation,1.4k,10.4k,214,170,--
AXA Business Services,1.4k,7.4k,21,177,5
Big Bazaar,1.4k,4k,--,192,--
SBI General Insurance,1.4k,5.2k,28,139,5
Spark Minda,1.4k,5.5k,9,43,7
BA Continuum,1.4k,11.2k,--,304,--
Apollo Pharmacy,1.4k,4.6k,169,129,4
Vedantu,1.4k,8.9k,39,164,6
Wockhardt,1.4k,4.6k,9,183,--
MetLife,1.4k,7.9k,629,248,--
Philips,1.4k,10k,131,192,9
CMS Infosystems,1.4k,4.1k,12,102,--
Tata Play,1.4k,4.7k,8,186,10
Biological E,1.4k,5.9k,33,231,--
Niva Bupa Health Insurance Company ,1.4k,6.4k,16,125,1
Vardhman Fabrics,1.4k,5.5k,18,155,1
NCR Corporation,1.4k,8.3k,137,187,6
